idViaje,horaSalida,idParada,seqParada
1391112024-03-19,22:49:00,01003,7
1391012024-03-19,20:39:00,01003,6
1390812024-03-19,19:29:00,01003,6
1390712024-03-19,17:53:00,01003,10
1390612024-03-19,16:51:00,01003,4
1390512024-03-19,15:32:00,01003,8
1390412024-03-19,12:17:00,01003,4
1390312024-03-19,11:15:00,01003,9
1390212024-03-19,9:12:00,01003,4
1390112024-03-19,8:52:00,01003,7
1305212024-04-01,16:08:00,01003,6
1305212024-03-19,16:08:00,01003,6
1305112024-04-01,6:54:00,01003,3
1305112024-03-19,6:54:00,01005,3
1391112024-03-19,22:39:00,01005,6
1391012024-03-19,20:50:00,01005,7
1390912024-03-19,19:26:00,01005,9
1390812024-03-19,19:47:00,01005,7
1390712024-03-19,17:43:00,01005,9
1390612024-03-19,17:01:00,01005,5
1390512024-03-19,15:22:00,01005,7
1390412024-03-19,12:27:00,01005,5
1390312024-03-19,11:05:00,01005,8
1390212024-03-19,9:22:00,01005,5
1390112024-03-19,8:42:00,01005,6
1390012024-03-19,8:01:00,01005,4
1305212024-04-01,16:18:00,01005,7
1305212024-03-19,16:18:00,01005,7
1305112024-04-01,6:44:00,01005,2
1305112024-03-19,6:44:00,01007,2
1391112024-03-19,22:19:00,01007,5
1391012024-03-19,21:10:00,01007,8
1390912024-03-19,19:06:00,01007,8
1390812024-03-19,20:07:00,01007,8
1390712024-03-19,17:23:00,01007,8
1390612024-03-19,17:21:00,01007,6
1390512024-03-19,15:02:00,01007,6
1390412024-03-19,12:47:00,01007,6
1390312024-03-19,10:45:00,01007,7
1390212024-03-19,9:42:00,01007,6
1390112024-03-19,8:18:00,01007,5
1390012024-03-19,8:21:00,01007,5
1305212024-04-01,16:37:00,01007,8
1305212024-03-19,16:37:00,01007,8
1305112024-04-01,6:24:00,01007,1
1305112024-03-19,6:24:00,01009,1
1391112024-03-19,22:02:00,01009,4
1391012024-03-19,21:28:00,01009,9
1390912024-03-19,18:49:00,01009,7
1390812024-03-19,20:24:00,01009,9
1390712024-03-19,17:05:00,01009,7
1390612024-03-19,17:41:00,01009,7
1390512024-03-19,14:45:00,01009,5
1390412024-03-19,13:05:00,01009,7
1390312024-03-19,10:28:00,01009,6
1390212024-03-19,9:59:00,01009,7
1390112024-03-19,8:01:00,01009,4
1390012024-03-19,8:40:00,02002,6
0878412024-03-19,18:57:00,02002,3
0876412024-05-02,17:09:00,02002,3
0876412024-04-01,17:09:00,02002,3
0876412024-03-19,17:09:00,02002,3
0874412024-03-19,15:02:00,02002,3
0870412024-03-19,20:47:00,02002,3
0869412024-03-19,9:54:00,02002,3
0866412024-05-02,7:47:00,02002,3
0866412024-04-01,7:47:00,02002,3
0866412024-03-19,7:47:00,02002,3
0857512024-03-19,18:45:00,02002,5
0852512024-03-19,14:36:00,02002,5
0850512024-03-19,20:15:00,02002,5
0847512024-03-19,7:41:00,02002,5
0839512024-03-19,20:37:00,02002,3
0833512024-03-19,13:33:00,02002,3
0829512024-03-19,10:59:00,02002,3
0827512024-03-19,8:59:00,02002,3
0819512024-03-19,20:29:00,02002,3
0817512024-05-02,18:48:00,02002,3
0817512024-04-01,18:48:00,02002,3
0817512024-03-19,18:48:00,02002,3
0815512024-03-19,16:41:00,02002,3
0812512024-03-19,14:26:00,02002,3
0808512024-03-19,9:17:00,02002,3
0807512024-05-02,7:41:00,02002,3
0807512024-04-01,7:41:00,02002,3
0807512024-03-19,7:41:00,02002,3
0399332024-06-29,9:21:00,02002,3
0399322024-06-29,9:31:00,02002,3
0399312024-07-22,9:01:00,02002,3
0399312024-06-29,9:01:00,02002,3
0399312024-05-31,9:01:00,02002,3
0399312024-03-19,9:01:00,02002,3
0399212024-05-31,21:02:00,02002,7
0399212024-03-19,21:02:00,02002,7
0399122024-03-19,16:54:00,02002,3
0399112024-03-19,16:54:00,02002,3
0399022024-03-19,14:13:00,02002,8
0399012024-03-19,14:13:00,02002,8
0220312024-03-19,20:41:00,02002,3
0220212024-03-19,22:50:00,02002,3
0219712024-03-19,20:41:00,02002,4
0217812024-03-19,20:06:00,02002,6
0217312024-11-03,17:34:00,02002,3
0217312024-03-31,17:34:00,02002,3
0217312024-03-19,17:34:00,02002,3
0216212024-03-19,18:59:00,02002,5
0214322024-03-30,14:43:00,02002,3
0214312024-06-01,14:43:00,02002,3
0214312024-04-08,14:43:00,02002,3
0214312024-03-22,14:43:00,02002,3
0214312024-03-21,14:43:00,02002,3
0212212024-05-03,14:50:00,02002,3
0212212024-03-19,14:50:00,02002,3
0210912024-03-19,11:23:00,02002,3
0209312024-03-19,9:34:00,02002,3
0207612024-03-19,9:41:00,02002,3
0207212024-03-19,9:41:00,02003,3
1391112024-03-19,21:41:00,02003,3
1391012024-03-19,21:57:00,02003,10
1390912024-03-19,18:28:00,02003,6
1390812024-03-19,20:44:00,02003,10
1390712024-03-19,16:43:00,02003,6
1390612024-03-19,18:00:00,02003,8
1390512024-03-19,14:25:00,02003,4
1390412024-03-19,13:29:00,02003,8
1390312024-03-19,10:00:00,02003,5
1390212024-03-19,10:19:00,02003,8
1390112024-03-19,7:40:00,02003,3
1390012024-03-19,9:01:00,02003,7
1307712024-03-19,19:39:00,02003,12
1307612024-03-19,21:00:00,02003,1
1306512024-03-19,13:25:00,02003,17
1306412024-03-19,14:58:00,02003,1
1306312024-03-19,8:56:00,02003,12
1306212024-03-19,10:09:00,02003,1
0933112024-03-19,17:51:00,02003,4
0933012024-03-19,18:35:00,02003,6
0878412024-03-19,18:43:00,02003,2
0876412024-05-02,16:55:00,02003,2
0876412024-04-01,16:55:00,02003,2
0876412024-03-19,16:55:00,02003,2
0874412024-03-19,14:48:00,02003,2
0870412024-03-19,20:33:00,02003,2
0869412024-03-19,9:40:00,02003,2
0866412024-05-02,7:33:00,02003,2
0866412024-04-01,7:33:00,02003,2
0866412024-03-19,7:33:00,02003,2
0857512024-03-19,18:28:00,02003,4
0852512024-03-19,14:22:00,02003,4
0850512024-03-19,20:00:00,02003,4
0847512024-03-19,7:26:00,02003,4
0839512024-03-19,20:53:00,02003,4
0833512024-03-19,13:48:00,02003,4
0829512024-03-19,11:21:00,02003,4
0827512024-03-19,9:15:00,02003,4
0819512024-03-19,20:45:00,02003,4
0817512024-05-02,19:04:00,02003,4
0817512024-04-01,19:04:00,02003,4
0817512024-03-19,19:04:00,02003,4
0815512024-03-19,16:57:00,02003,4
0812512024-03-19,14:42:00,02003,4
0808512024-03-19,9:33:00,02003,4
0807512024-05-02,7:57:00,02003,4
0807512024-04-01,7:57:00,02003,4
0807512024-03-19,7:57:00,02003,4
0399332024-06-29,9:06:00,02003,2
0399322024-06-29,9:16:00,02003,2
0399312024-07-22,8:46:00,02003,2
0399312024-06-29,8:46:00,02003,2
0399312024-05-31,8:46:00,02003,2
0399312024-03-19,8:46:00,02003,2
0399212024-05-31,21:18:00,02003,8
0399212024-03-19,21:18:00,02003,8
0399122024-03-19,16:39:00,02003,2
0399112024-03-19,16:39:00,02003,2
0399022024-03-19,14:28:00,02003,9
0399012024-03-19,14:28:00,02003,9
0220312024-03-19,20:23:00,02003,2
0220212024-03-19,23:06:00,02003,4
0219712024-03-19,20:23:00,02003,3
0219212024-03-19,22:10:00,02003,5
0217812024-03-19,20:21:00,02003,7
0217312024-11-03,17:20:00,02003,2
0217312024-03-31,17:20:00,02003,2
0217312024-03-19,17:20:00,02003,2
0216712024-03-19,16:18:00,02003,3
0216312024-03-19,16:18:00,02003,2
0216212024-03-19,19:23:00,02003,6
0214612024-03-19,17:09:00,02003,3
0214322024-03-30,14:28:00,02003,2
0214312024-06-01,14:28:00,02003,2
0214312024-04-08,14:28:00,02003,2
0214312024-03-22,14:28:00,02003,2
0214312024-03-21,14:28:00,02003,2
0214212024-03-19,17:01:00,02003,3
0212212024-05-03,15:05:00,02003,4
0212212024-03-19,15:05:00,02003,4
0210912024-03-19,11:09:00,02003,2
0209312024-03-19,9:19:00,02003,2
0209222024-06-01,12:07:00,02003,5
0209222024-04-08,12:07:00,02003,5
0209222024-03-22,12:07:00,02003,5
0209222024-03-21,12:07:00,02003,5
0209212024-06-01,12:07:00,02003,5
0209212024-04-09,12:07:00,02003,5
0209212024-04-08,12:07:00,02003,5
0209212024-03-30,12:07:00,02003,5
0209212024-03-29,12:07:00,02003,5
0209212024-03-28,12:07:00,02003,5
0209212024-03-27,12:07:00,02003,5
0209212024-03-26,12:07:00,02003,5
0209212024-03-25,12:07:00,02003,5
0209212024-03-24,12:07:00,02003,5
0209212024-03-22,12:07:00,02003,5
0209212024-03-21,12:07:00,02003,5
0207712024-03-19,7:57:00,02003,4
0207612024-03-19,10:05:00,02003,4
0207312024-03-19,7:57:00,02003,2
0207212024-03-19,9:59:00,02030,4
1031712024-03-31,17:23:00,02030,2
0895512024-03-19,19:26:00,02030,3
0893512024-03-19,14:06:00,02030,3
0891512024-03-19,8:27:00,02030,3
0885512024-03-19,20:48:00,02030,2
0883512024-03-19,16:10:00,02030,2
0881512024-03-19,9:53:00,02030,2
0857512024-03-19,18:18:00,02030,3
0852512024-03-19,14:12:00,02030,3
0850512024-03-19,19:49:00,02030,3
0847512024-03-19,7:16:00,02030,3
0839512024-03-19,21:04:00,02030,5
0833512024-03-19,13:59:00,02030,5
0829512024-03-19,11:33:00,02030,5
0827512024-03-19,9:26:00,02030,5
0393112024-03-19,16:22:00,02030,2
0393012024-03-19,12:21:00,02030,6
0219712024-03-19,20:13:00,02030,2
0219612024-03-19,22:45:00,02030,5
0216712024-03-19,16:09:00,02030,2
0214612024-03-19,17:20:00,02030,4
0207712024-03-19,7:47:00,02030,3
0207612024-03-19,10:16:00,03001,5
1803712024-03-23,17:40:00,03001,2
1803712024-03-19,17:40:00,03001,2
1803612024-03-23,23:02:00,03001,13
1803612024-03-19,23:02:00,03001,13
1803512024-03-23,15:44:00,03001,2
1803512024-03-19,16:52:00,03001,2
1803312024-03-23,8:54:00,03001,2
1803312024-03-19,8:54:00,03001,2
1803212024-03-30,19:38:00,03001,14
1803212024-03-23,19:38:00,03001,14
1803212024-03-19,19:38:00,03001,14
1803012024-03-23,13:06:00,03001,14
1803012024-03-19,12:30:00,03100,14
1803712024-03-23,17:20:00,03100,1
1803712024-03-19,17:20:00,03100,1
1803612024-03-23,23:24:00,03100,14
1803612024-03-19,23:24:00,03100,14
1803512024-03-23,15:22:00,03100,1
1803512024-03-19,16:30:00,03100,1
1803412024-03-23,21:30:00,03100,8
1803412024-03-19,21:30:00,03100,8
1803312024-03-23,8:32:00,03100,1
1803312024-03-19,8:32:00,03100,1
1803212024-03-30,19:59:00,03100,15
1803212024-03-23,19:59:00,03100,15
1803212024-03-19,19:59:00,03100,15
1803112024-03-30,6:12:00,03100,1
1803112024-03-23,6:12:00,03100,1
1803112024-03-19,6:12:00,03100,1
1803012024-03-23,13:28:00,03100,15
1803012024-03-19,12:52:00,03100,15
1333712024-04-01,9:19:00,03100,6
1333712024-03-19,9:19:00,03100,6
1333112024-04-01,5:18:00,03100,1
1333112024-03-19,5:18:00,03100,1
1308312024-03-19,14:35:00,03100,1
1307912024-03-19,7:29:00,03100,1
1307312024-03-19,18:18:00,03100,1
1303512024-03-19,17:00:00,03100,1
1301712024-03-19,22:46:00,03100,18
1301122024-04-01,18:10:00,03100,10
1301122024-03-25,18:10:00,03100,10
1301122024-03-19,18:10:00,03100,10
1301112024-04-01,18:10:00,03100,20
1301112024-03-25,18:10:00,03100,20
1301112024-03-19,18:10:00,03100,20
1300912024-03-19,16:12:00,03100,19
1300322024-04-01,12:08:00,03100,22
1300322024-03-25,12:08:00,03100,22
1300322024-03-19,12:08:00,03100,22
1300112024-04-01,11:05:00,03100,24
1300112024-03-19,11:05:00,03208,24
9507012024-03-19,8:40:00,03208,2
0831212024-05-16,9:34:00,03208,2
0831212024-05-15,9:34:00,03208,2
0831212024-05-03,9:34:00,03208,2
0831212024-05-01,9:34:00,03208,2
0831212024-04-01,9:34:00,03208,2
0831212024-03-31,9:34:00,03208,2
0831212024-03-29,9:34:00,03208,2
0831212024-03-28,9:34:00,03208,2
0831212024-03-24,9:34:00,03208,2
0831212024-03-19,9:34:00,03208,2
0817322024-05-16,19:27:00,03208,3
0817322024-05-15,19:27:00,03208,3
0817322024-05-03,19:27:00,03208,3
0817322024-05-01,19:27:00,03208,3
0817322024-03-19,19:27:00,03208,3
0816312024-05-20,18:46:00,03208,3
0816312024-05-13,18:46:00,03208,3
0816312024-05-06,18:46:00,03208,3
0816312024-04-29,18:46:00,03208,3
0816312024-03-19,18:46:00,03208,3
0807212024-05-20,6:23:00,03208,2
0807212024-05-13,6:23:00,03208,2
0807212024-05-06,6:23:00,03208,2
0807212024-04-29,6:23:00,03208,2
0807212024-04-01,6:23:00,03208,2
0807212024-03-25,6:23:00,03208,2
0807212024-03-19,6:23:00,03208,2
0599012024-05-12,20:42:00,03208,2
0599012024-05-11,20:42:00,03208,2
0599012024-05-05,20:42:00,03208,2
0599012024-05-04,20:42:00,03208,2
0599012024-04-28,20:42:00,03208,2
0599012024-04-08,20:42:00,03208,2
0599012024-04-02,20:42:00,03208,2
0599012024-03-19,20:42:00,03208,2
0595122024-05-12,16:13:00,03208,2
0595122024-05-05,16:13:00,03208,2
0595122024-04-08,16:13:00,03208,2
0595122024-04-02,16:13:00,03208,2
0595122024-03-19,16:13:00,03208,2
0595112024-05-12,16:13:00,03208,4
0595112024-05-05,16:13:00,03208,4
0595112024-04-08,16:13:00,03208,4
0595112024-04-02,16:13:00,03208,4
0595112024-03-19,16:13:00,03208,4
0591222024-03-19,12:03:00,03208,2
0591212024-03-19,12:03:00,03208,2
0591042024-09-02,13:25:00,03208,2
0591042024-03-29,13:25:00,03208,2
0591022024-12-07,13:25:00,03208,2
0591022024-12-05,13:25:00,03208,2
0591022024-11-02,13:25:00,03208,2
0591022024-10-31,13:25:00,03208,2
0591022024-09-02,13:25:00,03208,2
0591022024-06-07,13:25:00,03208,2
0591022024-05-04,13:25:00,03208,2
0591022024-04-30,13:25:00,03208,2
0591022024-03-29,13:25:00,03208,2
0591022024-03-22,13:25:00,03208,2
0591012024-12-05,13:25:00,03208,2
0591012024-11-02,13:25:00,03208,2
0591012024-10-31,13:25:00,03208,2
0591012024-09-02,13:25:00,03208,2
0591012024-06-07,13:25:00,03208,2
0591012024-05-04,13:25:00,03208,2
0591012024-04-30,13:25:00,03208,2
0591012024-03-29,13:25:00,03208,2
0591012024-03-22,13:25:00,03208,2
0590322024-03-19,21:29:00,03208,4
0590312024-03-19,21:29:00,03208,7
0589022024-05-12,10:45:00,03208,2
0589022024-05-05,10:45:00,03208,2
0589022024-04-08,10:45:00,03208,2
0589022024-04-02,10:45:00,03208,2
0589022024-03-19,10:45:00,03208,2
0589012024-05-12,10:45:00,03208,2
0589012024-05-05,10:45:00,03208,2
0589012024-04-08,10:45:00,03208,2
0589012024-04-02,10:45:00,03208,2
0589012024-03-19,10:45:00,03208,2
0587112024-05-13,8:02:00,03208,4
0587112024-05-12,8:02:00,03208,4
0587112024-05-06,8:02:00,03208,4
0587112024-05-05,8:02:00,03208,4
0587112024-04-29,8:02:00,03208,4
0587112024-04-08,8:02:00,03208,4
0587112024-04-02,8:02:00,03208,4
